Execution,clock,current_position_x,current_position_y,target_position_x,target_position_y,move_x,move_y
1,6019,105.0,130.0,0,0,0,-5
1,6036,105.0,125.0,0,0,0,-5
1,6052,105.0,125.0,0,0,0,0
1,6069,105.0,125.0,0,0,0,0
1,6086,100.0,125.0,0,0,-5,0
1,6104,95.0,125.0,0,0,-5,0
1,6120,90.0,125.0,0,0,-5,0
1,6137,85.0,125.0,0,0,-5,0
1,6154,85.0,125.0,0,0,0,0
1,6171,85.0,125.0,0,0,0,0
1,6188,85.0,125.0,0,0,0,0
1,6205,85.0,125.0,0,0,0,0
1,6222,85.0,125.0,0,0,0,0
1,6239,85.0,125.0,0,0,0,0
1,6256,85.0,125.0,0,0,0,0
1,6273,85.0,125.0,0,0,0,0
1,6290,85.0,125.0,0,0,0,0
1,6307,85.0,125.0,0,0,0,0
1,6324,85.0,125.0,0,0,0,0
1,6341,85.0,120.0,0,0,0,-5
1,6357,85.0,115.0,0,0,0,-5
1,6373,85.0,110.0,0,0,0,-5
1,6389,85.0,105.0,0,0,0,-5
1,6406,85.0,100.0,0,0,0,-5
1,6423,85.0,95.0,0,0,0,-5
1,6439,85.0,90.0,0,0,0,-5
1,6456,85.0,85.0,0,0,0,-5
